year;month;day;hour;NO2;NOx;O3;NO
2016;8;9;23;12.3959019850954;17.9965407671583;52.8716749999999;3.65271786675339
2016;8;10;0;9.21423466389432;14.1214700048401;46.8116383333333;3.20048246347245
2016;8;10;1;11.0372666994324;16.6239737882839;35.3777816666666;3.64363166307417
2016;8;10;2;7.92195702235565;13.4209036690404;32.675835;3.58639459645181
2016;8;10;3;6.43360801034095;11.8759719282835;28.9747199999999;3.54949153016438
2016;8;10;4;7.47666663644008;12.6902877850087;32.1283283333333;3.40030626164492
2016;8;10;5;4.34269710611937;9.40457016810451;48.3125066666666;3.30133666751855
2016;8;10;6;6.36136241985137;11.7529962796336;45.9636116666666;3.51640555603997
2016;8;10;7;5.71661460152416;11.4700098786115;-999;3.75234514148947
2016;8;10;8;5.21359871011432;10.9841584860511;46.84442;3.76353977018473
2016;8;10;9;-999;-999;57.58697;-999
2016;8;10;10;3.75378018647684;9.51474704697671;62.1902999999999;3.75728330284693
2016;8;10;11;3.28505414330468;9.18384283746443;59.8916833333333;3.8471702414316
2016;8;10;12;2.6280012250359;8.80669438598522;64.7489166666666;4.02972299775303
2016;8;10;13;4.71806072330853;11.0625118602444;67.46675;4.13782979485306
2016;8;10;14;6.32736337898766;12.8956033950749;60.3380499999999;4.28378415275147
2016;8;10;15;7.21135875630553;13.8344652488867;56.3352983333333;4.31956788506732
2016;8;10;16;5.95804753152829;12.1007627533447;57.0594166666666;4.00625830627879
2016;8;10;17;4.22811289173317;10.5509647139387;66.4180166666666;4.1237427940849
2016;8;10;18;3.58742445880469;10.2319645061641;69.5816666666666;4.33354677774954
2016;8;10;19;9.65794288762975;16.4834424322876;56.0480766666666;4.45156795616543
2016;8;10;20;8.48646932942444;15.2084814813694;47.1233316666666;4.38407382503945
2016;8;10;21;9.17810574620287;15.6615833284835;42.2633366666666;4.22850237714639
2016;8;10;22;10.6334588470201;17.3212214293479;34.2844433333333;4.36173637037806
2016;8;10;23;9.53846820909284;16.0351481028559;33.1541716666666;4.23711288050339
2016;8;11;0;5.28336783941401;12.0502354007338;33.4550066666666;4.41332837289003
2016;8;11;1;6.09806359608038;12.8617742221735;27.547225;4.41126943030239
2016;8;11;2;4.02864333278233;10.7740095498787;25.8555583333333;4.39930526815855
2016;8;11;3;5.18271792126447;12.3276408120827;23.4941633333333;4.65989479333177
2016;8;11;4;5.36321852893927;12.0827427437351;24.340285;4.38245120075861
2016;8;11;5;13.0740172861625;22.5373226095643;13.7997261666666;6.17193605558686
2016;8;11;6;13.5535756777673;30.2558199594979;8.30388999999999;10.8931478134509
2016;8;11;7;16.9488885536455;46.0631889443405;6.25944616666666;18.9882492610861
2016;8;11;8;14.8110450353095;36.6771737995601;-999;14.2610159879814
2016;8;11;9;11.5867691279877;28.8404658482279;13.236395;11.2528032479809
2016;8;11;10;-999;-999;36.8800033333333;-999
2016;8;11;11;4.23145347614623;12.0785480233464;48.050575;5.11784879725872
2016;8;11;12;3.65283080891343;11.7186339697067;51.3458283333333;5.26048982296508
2016;8;11;13;3.04814339929505;10.801612356559;54.775555;5.05678650089339
2016;8;11;14;1.72331616107757;9.22058874528412;64.3497166666666;4.88969608394643
2016;8;11;15;1.32047806051766;8.71560410684603;66.3883666666666;4.82307645385537
2016;8;11;16;0.541629188795061;7.79256702946071;74.9133333333333;4.7290373887605
2016;8;11;17;0.760838369309493;7.93480614923842;78.9456333333333;4.67883777278837
2016;8;11;18;0.62792166959499;7.93955022288739;82.6478;4.76861966838683
