year;month;day;hour;PM10
2016;7;29;9;19.103773584905632
2016;7;29;10;19.103773584905632
2016;7;29;11;19.103773584905632
2016;7;29;12;19.103773584905632
2016;7;29;13;19.103773584905632
2016;7;29;14;19.103773584905632
2016;7;29;15;19.103773584905632
2016;7;29;16;19.103773584905632
2016;7;29;17;19.103773584905632
2016;7;29;18;19.103773584905632
2016;7;29;19;19.103773584905632
2016;7;29;20;19.103773584905632
2016;7;29;21;19.103773584905632
2016;7;29;22;19.103773584905632
2016;7;29;23;19.103773584905632
2016;7;3;0;14.631712626996432
2016;7;3;1;14.631712626996432
2016;7;3;2;14.631712626996432
2016;7;3;3;14.631712626996432
2016;7;3;4;14.631712626996432
2016;7;3;5;14.631712626996432
2016;7;3;6;14.631712626996432
2016;7;3;7;14.631712626996432
2016;7;3;8;14.631712626996432
2016;7;3;9;14.631712626996432
2016;7;3;10;14.631712626996432
2016;7;3;11;14.631712626996432
2016;7;3;12;14.631712626996432
2016;7;3;13;14.631712626996432
2016;7;3;14;14.631712626996432
2016;7;3;15;14.631712626996432
2016;7;3;16;14.631712626996432
2016;7;3;17;14.631712626996432
2016;7;3;18;14.631712626996432
2016;7;3;19;14.631712626996432
2016;7;3;20;14.631712626996432
2016;7;3;21;14.631712626996432
2016;7;3;22;14.631712626996432
2016;7;3;23;14.631712626996432
2016;7;30;0;12.744920174165866
2016;7;30;1;12.744920174165866
2016;7;30;2;12.744920174165866
2016;7;30;3;12.744920174165866
2016;7;30;4;12.744920174165866
2016;7;30;5;12.744920174165866
2016;7;30;6;12.744920174165866
2016;7;30;7;12.744920174165866
2016;7;30;8;12.744920174165866
2016;7;30;9;12.744920174165866
2016;7;30;10;12.744920174165866
2016;7;30;11;12.744920174165866
2016;7;30;12;12.744920174165866
2016;7;30;13;12.744920174165866
2016;7;30;14;12.744920174165866
2016;7;30;15;12.744920174165866
2016;7;30;16;12.744920174165866
2016;7;30;17;12.744920174165866
2016;7;30;18;12.744920174165866
2016;7;30;19;12.744920174165866
2016;7;30;20;12.744920174165866
2016;7;30;21;12.744920174165866
2016;7;30;22;12.744920174165866
2016;7;30;23;12.744920174165866
2016;7;31;0;16.1375181422354
2016;7;31;1;16.1375181422354
2016;7;31;2;16.1375181422354
2016;7;31;3;16.1375181422354
2016;7;31;4;16.1375181422354
2016;7;31;5;16.1375181422354
2016;7;31;6;16.1375181422354
2016;7;31;7;16.1375181422354
2016;7;31;8;16.1375181422354
2016;7;31;9;16.1375181422354
2016;7;31;10;16.1375181422354
2016;7;31;11;16.1375181422354
2016;7;31;12;16.1375181422354
2016;7;31;13;16.1375181422354
2016;7;31;14;16.1375181422354
2016;7;31;15;16.1375181422354
2016;7;31;16;16.1375181422354
2016;7;31;17;16.1375181422354
2016;7;31;18;16.1375181422354
2016;7;31;19;16.1375181422354
2016;7;31;20;16.1375181422354
2016;7;31;21;16.1375181422354
2016;7;31;22;16.1375181422354
2016;7;31;23;16.1375181422354
2016;7;4;0;23.457910014513583
2016;7;4;1;23.457910014513583
2016;7;4;2;23.457910014513583
2016;7;4;3;23.457910014513583
2016;7;4;4;23.457910014513583
2016;7;4;5;23.457910014513583
2016;7;4;6;23.457910014513583
2016;7;4;7;23.457910014513583
2016;7;4;8;23.457910014513583
2016;7;4;9;23.457910014513583
2016;7;4;10;23.457910014513583
2016;7;4;11;23.457910014513583
2016;7;4;12;23.457910014513583
2016;7;4;13;23.457910014513583
2016;7;4;14;23.457910014513583
2016;7;4;15;23.457910014513583
2016;7;4;16;23.457910014513583
2016;7;4;17;23.457910014513583
2016;7;4;18;23.457910014513583
2016;7;4;19;23.457910014513583
2016;7;4;20;23.457910014513583
2016;7;4;21;23.457910014513583
2016;7;4;22;23.457910014513583
2016;7;4;23;23.457910014513583
2016;7;5;0;26.11574746008727
2016;7;5;1;26.11574746008727
2016;7;5;2;26.11574746008727
2016;7;5;3;26.11574746008727
2016;7;5;4;26.11574746008727
2016;7;5;5;26.11574746008727
2016;7;5;6;26.11574746008727
2016;7;5;7;26.11574746008727
2016;7;5;8;26.11574746008727
2016;7;5;9;26.11574746008727
2016;7;5;10;26.11574746008727
2016;7;5;11;26.11574746008727
2016;7;5;12;26.11574746008727
2016;7;5;13;26.11574746008727
2016;7;5;14;26.11574746008727
2016;7;5;15;26.11574746008727
2016;7;5;16;26.11574746008727
2016;7;5;17;26.11574746008727
2016;7;5;18;26.11574746008727
2016;7;5;19;26.11574746008727
2016;7;5;20;26.11574746008727
2016;7;5;21;26.11574746008727
2016;7;5;22;26.11574746008727
2016;7;5;23;26.11574746008727
2016;7;6;0;18.196661828737373
2016;7;6;1;18.196661828737373
2016;7;6;2;18.196661828737373
2016;7;6;3;18.196661828737373
2016;7;6;4;18.196661828737373
2016;7;6;5;18.196661828737373
2016;7;6;6;18.196661828737373
2016;7;6;7;18.196661828737373
2016;7;6;8;18.196661828737373
2016;7;6;9;18.196661828737373
2016;7;6;10;18.196661828737373
2016;7;6;11;18.196661828737373
2016;7;6;12;18.196661828737373
2016;7;6;13;18.196661828737373
2016;7;6;14;18.196661828737373
2016;7;6;15;18.196661828737373
2016;7;6;16;18.196661828737373
2016;7;6;17;18.196661828737373
2016;7;6;18;18.196661828737373
2016;7;6;19;18.196661828737373
2016;7;6;20;18.196661828737373
2016;7;6;21;18.196661828737373
2016;7;6;22;18.196661828737373
2016;7;6;23;18.196661828737373
2016;7;7;0;18.463073852295491
2016;7;7;1;18.463073852295491
2016;7;7;2;18.463073852295491
2016;7;7;3;18.463073852295491
2016;7;7;4;18.463073852295491
2016;7;7;5;18.463073852295491
2016;7;7;6;18.463073852295491
2016;7;7;7;18.463073852295491
2016;7;7;8;18.463073852295491
2016;7;7;9;18.463073852295491
2016;7;7;10;18.463073852295491
2016;7;7;11;18.463073852295491
2016;7;7;12;18.463073852295491
2016;7;7;13;18.463073852295491
2016;7;7;14;18.463073852295491
2016;7;7;15;18.463073852295491
2016;7;7;16;18.463073852295491
2016;7;7;17;18.463073852295491
2016;7;7;18;18.463073852295491
2016;7;7;19;18.463073852295491
2016;7;7;20;18.463073852295491
2016;7;7;21;18.463073852295491
2016;7;7;22;18.463073852295491
2016;7;7;23;18.463073852295491
2016;7;8;0;25.07256894049387
2016;7;8;1;25.07256894049387
2016;7;8;2;25.07256894049387
2016;7;8;3;25.07256894049387
2016;7;8;4;25.07256894049387
2016;7;8;5;25.07256894049387
2016;7;8;6;25.07256894049387
2016;7;8;7;25.07256894049387
2016;7;8;8;25.07256894049387
2016;7;8;9;25.07256894049387
2016;7;8;10;25.07256894049387
2016;7;8;11;25.07256894049387
2016;7;8;12;25.07256894049387
2016;7;8;13;25.07256894049387
2016;7;8;14;25.07256894049387
2016;7;8;15;25.07256894049387
2016;7;8;16;25.07256894049387
2016;7;8;17;25.07256894049387
2016;7;8;18;25.07256894049387
2016;7;8;19;25.07256894049387
2016;7;8;20;25.07256894049387
2016;7;8;21;25.07256894049387
2016;7;8;22;25.07256894049387
2016;7;8;23;25.07256894049387
2016;7;9;0;20.863570391871995
2016;7;9;1;20.863570391871995
2016;7;9;2;20.863570391871995
2016;7;9;3;20.863570391871995
2016;7;9;4;20.863570391871995
2016;7;9;5;20.863570391871995
2016;7;9;6;20.863570391871995
2016;7;9;7;20.863570391871995
2016;7;9;8;20.863570391871995
2016;7;9;9;20.863570391871995
2016;7;9;10;20.863570391871995
2016;7;9;11;20.863570391871995
2016;7;9;12;20.863570391871995
2016;7;9;13;20.863570391871995
2016;7;9;14;20.863570391871995
2016;7;9;15;20.863570391871995
2016;7;9;16;20.863570391871995
2016;7;9;17;20.863570391871995
2016;7;9;18;20.863570391871995
2016;7;9;19;20.863570391871995
2016;7;9;20;20.863570391871995
2016;7;9;21;20.863570391871995
2016;7;9;22;20.863570391871995
2016;7;9;23;20.863570391871995
2016;8;1;0;8.9713352685052392
2016;8;1;1;8.9713352685052392
2016;8;1;2;8.9713352685052392
2016;8;1;3;8.9713352685052392
2016;8;1;4;8.9713352685052392
2016;8;1;5;8.9713352685052392
2016;8;1;6;8.9713352685052392
2016;8;1;7;8.9713352685052392
2016;8;1;8;8.9713352685052392
2016;8;1;9;8.9713352685052392
2016;8;1;10;8.9713352685052392
2016;8;1;11;8.9713352685052392
2016;8;1;12;8.9713352685052392
2016;8;1;13;8.9713352685052392
2016;8;1;14;8.9713352685052392
2016;8;1;15;8.9713352685052392
2016;8;1;16;8.9713352685052392
2016;8;1;17;8.9713352685052392
2016;8;1;18;8.9713352685052392
2016;8;1;19;8.9713352685052392
2016;8;1;20;8.9713352685052392
2016;8;1;21;8.9713352685052392
2016;8;1;22;8.9713352685052392
2016;8;1;23;8.9713352685052392
2016;8;10;0;10.696788241697789
2016;8;10;1;10.696788241697789
2016;8;10;2;10.696788241697789
2016;8;10;3;10.696788241697789
2016;8;10;4;10.696788241697789
2016;8;10;5;10.696788241697789
2016;8;10;6;10.696788241697789
2016;8;10;7;10.696788241697789
2016;8;10;8;10.696788241697789
2016;8;10;9;10.696788241697789
2016;8;10;10;10.696788241697789
2016;8;10;11;10.696788241697789
2016;8;10;12;10.696788241697789
2016;8;10;13;10.696788241697789
2016;8;10;14;10.696788241697789
2016;8;10;15;10.696788241697789
2016;8;10;16;10.696788241697789
2016;8;10;17;10.696788241697789
2016;8;10;18;10.696788241697789
2016;8;10;19;10.696788241697789
2016;8;10;20;10.696788241697789
2016;8;10;21;10.696788241697789
2016;8;10;22;10.696788241697789
2016;8;10;23;10.696788241697789
2016;8;11;0;15.067126269956674
2016;8;11;1;15.067126269956674
2016;8;11;2;15.067126269956674
2016;8;11;3;15.067126269956674
2016;8;11;4;15.067126269956674
2016;8;11;5;15.067126269956674
2016;8;11;6;15.067126269956674
2016;8;11;7;15.067126269956674
2016;8;11;8;15.067126269956674
2016;8;11;9;15.067126269956674
2016;8;11;10;15.067126269956674
2016;8;11;11;15.067126269956674
2016;8;11;12;15.067126269956674
2016;8;11;13;15.067126269956674
2016;8;11;14;15.067126269956674
2016;8;11;15;15.067126269956674
2016;8;11;16;15.067126269956674
2016;8;11;17;15.067126269956674
2016;8;11;18;15.067126269956674
2016;8;11;19;15.067126269956674
2016;8;11;20;15.067126269956674
2016;8;11;21;15.067126269956674
2016;8;11;22;15.067126269956674
2016;8;11;23;15.067126269956674
2016;8;12;0;10.123367198838951
2016;8;12;1;10.123367198838951
2016;8;12;2;10.123367198838951
2016;8;12;3;10.123367198838951
2016;8;12;4;10.123367198838951
2016;8;12;5;10.123367198838951
2016;8;12;6;10.123367198838951
2016;8;12;7;10.123367198838951
2016;8;12;8;10.123367198838951
2016;8;12;9;10.123367198838951
2016;8;12;10;10.123367198838951
2016;8;12;11;10.123367198838951
2016;8;12;12;10.123367198838951
2016;8;12;13;10.123367198838951
2016;8;12;14;10.123367198838951
2016;8;12;15;10.123367198838951
2016;8;12;16;10.123367198838951
2016;8;12;17;10.123367198838951
2016;8;12;18;10.123367198838951
2016;8;12;19;10.123367198838951
2016;8;12;20;10.123367198838951
2016;8;12;21;10.123367198838951
2016;8;12;22;10.123367198838951
2016;8;12;23;10.123367198838951
2016;8;13;0;9.5320152367134412
2016;8;13;1;9.5320152367134412
2016;8;13;2;9.5320152367134412
2016;8;13;3;9.5320152367134412
2016;8;13;4;9.5320152367134412
2016;8;13;5;9.5320152367134412
2016;8;13;6;9.5320152367134412
2016;8;13;7;9.5320152367134412
2016;8;13;8;9.5320152367134412
2016;8;13;9;9.5320152367134412
2016;8;13;10;9.5320152367134412
2016;8;13;11;9.5320152367134412
2016;8;13;12;9.5320152367134412
2016;8;13;13;9.5320152367134412
2016;8;13;14;9.5320152367134412
2016;8;13;15;9.5320152367134412
2016;8;13;16;9.5320152367134412
2016;8;13;17;9.5320152367134412
2016;8;13;18;9.5320152367134412
2016;8;13;19;9.5320152367134412
2016;8;13;20;9.5320152367134412
2016;8;13;21;9.5320152367134412
2016;8;13;22;9.5320152367134412
2016;8;13;23;9.5320152367134412
2016;8;14;0;14.287010159651608
2016;8;14;1;14.287010159651608
2016;8;14;2;14.287010159651608
2016;8;14;3;14.287010159651608
2016;8;14;4;14.287010159651608
2016;8;14;5;14.287010159651608
2016;8;14;6;14.287010159651608
2016;8;14;7;14.287010159651608
2016;8;14;8;14.287010159651608
2016;8;14;9;14.287010159651608
2016;8;14;10;14.287010159651608
2016;8;14;11;14.287010159651608
2016;8;14;12;14.287010159651608
2016;8;14;13;14.287010159651608
2016;8;14;14;14.287010159651608
2016;8;14;15;14.287010159651608
2016;8;14;16;14.287010159651608
2016;8;14;17;14.287010159651608
2016;8;14;18;14.287010159651608
2016;8;14;19;14.287010159651608
2016;8;14;20;14.287010159651608
2016;8;14;21;14.287010159651608
2016;8;14;22;14.287010159651608
2016;8;14;23;14.287010159651608
2016;8;15;0;10.74927431059499
2016;8;15;1;10.74927431059499
2016;8;15;2;10.74927431059499
2016;8;15;3;10.74927431059499
2016;8;15;4;10.74927431059499
2016;8;15;5;10.74927431059499
2016;8;15;6;10.74927431059499
2016;8;15;7;10.74927431059499
2016;8;15;8;10.74927431059499
2016;8;15;9;10.74927431059499
2016;8;15;10;10.74927431059499
2016;8;15;11;10.74927431059499
2016;8;15;12;10.74927431059499
2016;8;15;13;10.74927431059499
2016;8;15;14;10.74927431059499
