year;month;day;hour;PM10;SO2
2016;3;18;11;36.455502839152;14.3187832832336
2016;3;18;12;24.8198335520426;32.926933368047
2016;3;18;13;22.9818422861735;10.2349833448727
2016;3;18;14;21.8875526194254;5.48658334414164
2016;3;18;15;22.56814912618;7.04361666838328
2016;3;18;16;23.8646469070434;10.3622166951497
2016;3;18;17;26.7995407211303;12.9472166697184
2016;3;18;18;30.636039956665;9.50284998416901
2016;3;18;19;58.7916293324788;7.80499997933705
2016;3;18;20;112.039906840006;-999
2016;3;18;21;145.005661568196;7.34773332277933
2016;3;18;22;178.164933475748;8.77149999936421
2016;3;18;23;84.7671831512451;4.5566833337148
2016;3;19;0;96.8445886104189;4.41371666590372
2016;3;19;1;97.8967823872884;3.96248332262039
2016;3;19;2;79.0134713938395;3.92848332524299
2016;3;19;3;86.3282128092448;4.32254998683929
2016;3;19;4;75.5914032043457;4.94956664641698
2016;3;19;5;82.9222197957356;5.19183330933252
2016;3;19;6;79.4968009470621;5.94485001166661
2016;3;19;7;86.2385630310058;3.70115001400311
2016;3;19;8;64.5851161560058;19.8681500991185
2016;3;19;9;44.790259314982;6.57199996709823
2016;3;19;10;42.9005042938232;4.46003333727518
2016;3;19;11;41.5811350067138;4.32596665819485
2016;3;19;12;19.4432971247355;2.46305001166959
2016;3;19;13;14.4340293304443;1.95976666314527
2016;3;19;14;11.4937583880106;2.01368333535889
2016;3;19;15;13.6801608078002;2.13326666820794
2016;3;19;16;12.230624835968;2.32248332612216
2016;3;19;17;16.9217178314208;2.43885000534355
2016;3;19;18;19.31394450531;2.36259999970594
2016;3;19;19;20.3026811131795;2.60913333383699
2016;3;19;20;54.4462212885538;3.57641666233539
2016;3;19;21;47.0257938120524;-999
2016;3;19;22;55.59810622406;4.68901667197545
2016;3;19;23;26.7895003356933;2.98681666652361
2016;3;20;0;28.7255426514724;2.55951667086531
2016;3;20;1;28.9926456329345;2.61753333608309
2016;3;20;2;28.8701847890218;2.60900000681479
2016;3;20;3;26.1448640462239;2.47248334338267
2016;3;20;4;28.4874475611368;2.64380000357826
2016;3;20;5;31.9168042938232;2.55060000320275
2016;3;20;6;32.3881116816202;2.3532500013709
2016;3;20;7;36.8019639378865;2.41190000424782
2016;3;20;8;48.2079343505859;4.50230001211166
2016;3;20;9;37.1153864262898;22.0463666121164
2016;3;20;10;29.5728764200846;2.61218333045641
2016;3;20;11;24.5326529103596;5.03168334563573
2016;3;20;12;23.2016963241577;20.0345499674479
2016;3;20;13;21.5900719436645;65.9461161295572
2016;3;20;14;25.1569416300455;11.1521166761716
2016;3;20;15;32.7925657196044;3.84220000108083
2016;3;20;16;28.3034911936442;3.01776667038599
2016;3;20;17;25.9221512008667;3.04050001502036
2016;3;20;18;33.8321191777547;3.41906667351722
2016;3;20;19;33.0556631011962;3.53501666982968
2016;3;20;20;71.2605740524291;4.59263333280881
2016;3;20;21;97.366592574056;4.85549999475479
2016;3;20;22;96.748286751302;-999
2016;3;20;23;121.936819110576;4.65101667046546
2016;3;21;0;159.67831501086;5.86958334048589
2016;3;21;1;131.772434934488;5.27538333336512
2016;3;21;2;102.06611062622;6.08773333231608
2016;3;21;3;62.0094818074544;3.60586665272712
2016;3;21;4;94.7886105539957;3.90608331958452
2016;3;21;5;77.5684414815267;3.72018334269523
2016;3;21;6;70.0587994181315;3.85733335018157
2016;3;21;7;58.5465945404052;4.65445000727971
2016;3;21;8;81.2229149220784;9.49465005795161
2016;3;21;9;82.4787826019287;10.7834167162577
2016;3;21;10;43.645171323649;3.91585001548131
2016;3;21;11;47.8417635365803;3.27791666587193
2016;3;21;12;49.0554089528401;2.99983333150545
2016;3;21;13;46.576903418986;2.66116665899753
2016;3;21;14;43.8793388631184;2.94296665787696
2016;3;21;15;43.1127280202229;3.30865000486373
2016;3;21;16;45.2958549489339;3.18276666005452
2016;3;21;17;46.3561405385335;3.12859999537467
2016;3;21;18;51.1350273661295;3.21331667502721
2016;3;21;19;59.3628860270182;3.74293333888053
2016;3;21;20;65.985160550944;3.78960000475247
2016;3;21;21;78.2872072052002;3.79503333171208
2016;3;21;22;79.5944780934651;3.82649999658266
2016;3;21;23;74.6127622645451;-999
2016;3;22;0;69.2507305897858;3.29551666378974
2016;3;22;1;59.8922997833251;2.90533332824706
2016;3;22;2;54.4546849314371;2.86059999962647
2016;3;22;3;53.5601034210205;2.4952333326141
2016;3;22;4;51.4031614257812;2.25006666518747
2016;3;22;5;51.6411345692952;2.45731667230526
2016;3;22;6;46.373918778483;3.02701667447884
2016;3;22;7;48.6267582977294;3.22454999486605
2016;3;22;8;40.2614627360026;2.70756666188438
2016;3;22;9;33.038774780782;2.30500000578661
2016;3;22;10;28.367447962443;2.10144999052087
2016;3;22;11;22.3086109532674;2.02178333116074
2016;3;22;12;20.048235953776;2.06191666469288
2016;3;22;13;18.1209173037211;2.34605000019073
2016;3;22;14;16.9052269648234;2.33083333969116
2016;3;22;15;15.6456869178771;56.1521831043064
2016;3;22;16;15.1445215614318;56.18911652565
2016;3;22;17;14.6454578964233;8.23866674105326
2016;3;22;18;16.1281650474548;3.3596666653951
2016;3;22;19;17.7670722165425;57.2622003952662
2016;3;22;20;28.5510445233662;30.1602332909901
2016;3;22;21;51.8316979654947;7.48694998423258
2016;3;22;22;88.3425305643717;8.21983335812886
2016;3;22;23;89.9089151846078;7.62898333072662
2016;3;23;0;76.1248976388704;-999
