year;month;day;hour;O3
2016;11;10;15;56.7246665954589
2016;11;10;16;58.0986668904622
2016;11;10;17;51.9439999898274
2016;11;10;18;58.0206666946411
2016;11;10;19;51.5920001347859
2016;11;10;20;42.7139997800191
2016;11;10;21;28.1213333129882
2016;11;10;22;34.062666829427
2016;11;10;23;28.5186667442321
2016;11;11;0;29.3393331527709
2016;11;11;1;29.5706665992736
2016;11;11;2;33.0737498203913
2016;11;11;3;31.3912499348322
2016;11;11;4;29.0503333091735
2016;11;11;5;30.9023334821065
2016;11;11;6;28.9673334121704
2016;11;11;7;30.2483334223429
2016;11;11;8;27.823333231608
2016;11;11;9;31.655999914805
2016;11;11;10;42.5676665623982
2016;11;11;11;47.5943332036336
2016;11;11;12;48.2319999694824
2016;11;11;13;49.5639998118082
2016;11;11;14;64.5650002161661
2016;11;11;15;68.2763334274292
2016;11;11;16;68.2623332977295
2016;11;11;17;71.487665939331
2016;11;11;18;69.0966668446858
2016;11;11;19;77.5966667175293
2016;11;11;20;79.4266668955485
2016;11;11;21;82.288332748413
2016;11;11;22;80.9796669006347
2016;11;11;23;82.7003335316976
2016;11;12;0;85.9640004475911
2016;11;12;1;88.894666926066
2016;11;12;2;89.1141662597656
2016;11;12;3;88.0295828183492
2016;11;12;4;88.130333328247
2016;11;12;5;89.2860003153483
2016;11;12;6;90.1926671346028
2016;11;12;7;85.5776669820149
2016;11;12;8;80.3426670074463
2016;11;12;9;82.576000213623
2016;11;12;10;76.0753335316976
2016;11;12;11;73.5450002034505
2016;11;12;12;76.4470003763834
2016;11;12;13;80.6563331604004
2016;11;12;14;84.4016668955485
2016;11;12;15;68.7086661656697
2016;11;12;16;82.1970002492268
2016;11;12;17;81.109666442871
2016;11;12;18;77.7763337453206
2016;11;12;19;70.2453327178955
2016;11;12;20;57.787333424886
2016;11;12;21;41.4869997660319
2016;11;12;22;37.1639999389648
2016;11;12;23;36.2446666081746
2016;11;13;0;33.2393334388732
2016;11;13;1;28.9793333689371
2016;11;13;2;28.5575000842412
2016;11;13;3;32.9587499300638
2016;11;13;4;36.9090002695719
2016;11;13;5;38.582999865214
2016;11;13;6;40.1546666463216
2016;11;13;7;43.8373332977294
2016;11;13;8;30.565666548411
2016;11;13;9;41.2076663970947
