year;month;day;hour;NO2;NOx;PM10;SO2;NO
2016;1;7;15;61.1975459823577;126.77864;117.73744;5.4427;42.77177
2016;1;7;16;71.7777062068966;189.16132;132.85196;-999;76.5572
2016;1;7;17;72.2873650040096;128.26128;106.29164;4.4891;36.506
2016;1;7;18;-999;-999;91.43484;4.1629;-999
2016;1;7;19;68.8251322854852;104.70244;87.7358;2.05708;23.39906
2016;1;7;20;70.92048;151.93192;96.54376;2.70805;52.83539
2016;1;7;21;65.3125887730553;138.37316;94.11816;2.59314;47.64986
2016;1;7;22;62.5074439454691;160.3238;107.368;4.50611;63.7955
2016;1;7;23;60.6616901363272;152.0592;141.00804;5.2986;59.60915
2016;1;8;0;59.6883406255012;163.71908;126.19672;4.64983;67.8485
2016;1;8;1;57.7090524779471;131.67892;123.22536;3.91353;48.2429
2016;1;8;2;54.5677074899759;102.00892;88.12996;2.56174;30.941
2016;1;8;3;46.5312459599038;80.391616;54.42928;3.50712;22.08362
2016;1;8;4;49.4775055621492;80.085628;58.0222;2.12949;19.962515
2016;1;8;5;47.633423095429;110.37844;75.56232;2.65336;40.92209
2016;1;8;6;45.54594319166;99.83312;67.98232;2.36408;35.405915
2016;1;8;7;40.88763361668;156.47616;68.39164;3.24077;75.38645
2016;1;8;8;35.0492090457097;328.03584;97.30176;5.9436;191.0849
2016;1;8;9;-999;-999;107.30736;7.97;-999
2016;1;8;10;-999;-999;134.98952;6.7087;-999
2016;1;8;11;-999;-999;78.13952;6.8396;-999
2016;1;8;12;46.6795206736167;263.42404;102.77452;5.3004;141.36005
2016;1;8;13;52.7524638011227;179.81828;156.97152;3.58177;82.8719
2016;1;8;14;53.559073777065;356.1458;126.93956;6.4808;197.34605
2016;1;8;15;56.1339246190858;435.0336;137.27868;7.9626;247.1171
2016;1;8;16;73.7409840256617;465.81644;197.97932;8.4074;255.7103
2016;1;8;17;63.3918663031277;568.81864;268.12464;-999;329.63765
2016;1;8;18;36.0648030473136;437.003;254.88996;9.3056;261.49055
2016;1;8;19;-999;-999;142.28148;7.4772;-999
2016;1;8;20;26.2444064474739;299.65412;101.10692;5.9621;178.3169
2016;1;8;21;35.0110217161187;381.13224;93.5724;7.0143;225.7391
2016;1;8;22;42.5702866078589;573.2442;430.8066;10.8384;346.10375
2016;1;8;23;39.5906074739375;475.07176;423.9846;9.5701;284.01935
2016;1;9;0;58.1341928468324;357.82624;372.9712;7.1044;195.45815
2016;1;9;1;56.0194497514034;263.55992;313.33176;5.4124;135.3572
2016;1;9;2;46.3732330392943;256.876;257.5278;5.4172;137.2892
2016;1;9;3;42.8199099278268;240.04064;236.63732;5.3148;128.6267
2016;1;9;4;35.4507279871692;231.7554;239.06292;5.1914;128.02925
2016;1;9;5;33.6519188131516;264.68308;234.87876;5.6605;150.67775
2016;1;9;6;31.1348891740177;305.4832;238.82036;6.3134;178.92905
2016;1;9;7;33.3273237530073;296.62176;247.12804;6.2148;171.71975
2016;1;9;8;35.7674928949479;281.54252;259.1954;5.8084;160.29365
2016;1;9;9;34.5921246832397;278.69764;218.76368;5.6872;159.2048
2016;1;9;10;45.3364350280674;311.24864;225.25216;6.2329;173.42705
2016;1;9;11;61.3639288211708;243.92612;238.32008;5.2805;119.06645
2016;1;9;12;65.2506420208501;189.6842;222.3566;4.50019999999999;81.15515
2016;1;9;13;79.5375384442662;201.28732;228.98152;4.86299999999999;79.4048
2016;1;9;14;85.7716117401764;228.26552;283.02692;5.0773;92.93405
2016;1;9;15;93.3628488853248;243.51848;303.56872;5.0244;97.931
2016;1;9;16;93.4982594065758;301.31564;307.76804;6.0563;135.5378
2016;1;9;17;83.8682591178829;271.88816;309.375;5.46;122.62595
2016;1;9;18;59.8851199037691;416.56596;274.507;-999;232.62605
2016;1;9;19;50.8073729911788;381.47796;307.859;8.8888;215.66225
2016;1;9;20;-999;-999;345.2284;9.2564;-999
2016;1;9;21;27.8430032076985;406.989;298.17176;8.0735;247.27775
2016;1;9;22;18.5671020368886;361.25592;266.59348;7.407;223.5005
2016;1;9;23;16.2334576744186;271.89676;160.92828;5.9957;166.74275
2016;1;10;0;14.9355384442662;331.42252;291.21332;7.0582;206.41175
2016;1;10;1;10.2305517562149;290.67572;264.63784;6.4693;182.9054
2016;1;10;2;14.7223954129912;172.52204;211.79008;4.39527;102.9164
2016;1;10;3;19.9214506495589;105.02408;128.47072;3.29693;55.50365
2016;1;10;4;20.8090212798717;90.614608;78.4882;2.83365;45.52697
2016;1;10;5;17.9741879615076;69.644884;66.34504;2.37221;33.699455
2016;1;10;6;17.1390855493184;154.00624;74.57692;3.72917;89.2643
2016;1;10;7;14.7276139855654;159.29352;145.99568;3.83188;94.2854
2016;1;10;8;14.0964855493184;140.92564;96.6802;3.50418;82.71755
2016;1;10;9;13.5354392622294;188.36668;78.39724;4.27852;114.02435
2016;1;10;10;19.0204740657578;259.09308;136.89968;5.354;156.57455
2016;1;10;11;43.051147361668;161.32828;190.23256;4.79465;77.13995
2016;1;10;12;46.7025795701684;89.872772;173.42012;8.2087;28.155455
2016;1;10;13;47.1827406543705;80.116588;176.346;7.7764;21.479345
2016;1;10;14;48.2238699374499;71.443316;157.57792;15.5329;15.143645
2016;1;10;15;52.6657546335204;72.090724;187.85244;14.1017;12.6689
2016;1;10;16;63.6679282437851;83.77004;204.9984;6.6981;13.11053
2016;1;10;17;82.4541935525261;310.75328;222.22016;6.7265;148.8959
2016;1;10;18;52.0161421331195;306.94692;202.78504;6.4391;166.265
2016;1;10;19;39.5701382838813;307.58332;173.32916;-999;174.7973
2016;1;10;20;35.1871000801925;287.191;167.38644;7.2984;164.3561
2016;1;10;21;-999;-999;167.76544;7.4702;-999
2016;1;10;22;23.6837857257418;234.5504;172.72276;5.2206;137.5265
2016;1;10;23;28.9257846672013;179.24724;159.88224;4.34134;98.03915
2016;1;11;0;25.4493201924619;110.82564;157.35052;3.04719;55.68215
2016;1;11;1;22.3812614595028;150.81392;155.18264;3.74099;83.76335
2016;1;11;2;23.0668141395349;64.761976;132.32136;2.17824;27.193445
2016;1;11;3;21.6622348452286;46.169636;108.52016;1.64773;15.983645
2016;1;11;4;23.1574469735365;42.678208;92.84472;1.55869;12.731375
2016;1;11;5;24.5443451611868;60.848288;74.81948;1.85277;23.67731
2016;1;11;6;17.7507680513232;159.56528;53.56516;3.4569;92.49095
2016;1;11;7;10.0208845228549;302.0174;48.48656;5.8985;190.43915
2016;1;11;8;7.89961661587812;490.10456;58.05252;8.9358;314.49245
2016;1;11;9;14.7861293985566;407.58928;60.72068;7.60689999999999;256.1849
2016;1;11;10;21.0802416038492;359.16784;69.07384;7.6083;220.4996
2016;1;11;11;35.1504407698476;136.03052;33.72072;5.4068;65.79365
2016;1;11;12;29.1343113039294;47.689428;29.58204;4.17509;12.101585
2016;1;11;13;27.1156959903769;44.8301;27.11096;3.21011;11.553275
2016;1;11;14;20.966316776263;27.541004;32.68984;2.16422;4.287989
2016;1;11;15;17.9328758877306;20.945836;25.67076;2.00536;1.9650425
2016;1;11;16;25.8714052702486;29.75;13.34568;1.89194;2.5296065
2016;1;11;17;23.2419015640738;25.951896;13.11828;1.8299;1.7674493
2016;1;11;18;21.9913757879711;23.905612;17.51468;1.73491;1.24845845
2016;1;11;19;18.4402108689655;21.02358;8.96444;1.83319;1.6848647
2016;1;11;20;25.4365381523657;42.983508;16.01384;-999;11.444075
2016;1;11;21;25.8643329655172;41.054184;17.19632;3.6708;9.90677
2016;1;11;22;-999;-999;15.21036;4.18285;-999
