year;month;day;hour;NO2;NOx;O3;PM10;SO2;NO
2016;7;1;8;28.890028415025;50.9526963053693;57.7932459380661;22.29469;-999;14.3891981481482
2016;7;1;9;24.9226085174198;38.7695673127407;75.1751356962686;22.88325;-999;9.03094017665544
2016;7;1;10;24.5512082341531;32.876774525266;88.2398500691928;27.10827;-999;5.42990646705948
2016;7;1;11;27.6405697914578;35.395464397688;88.2127612756013;27.74938;-999;5.0577163043771
2016;7;1;12;21.5510443360515;28.7098336591695;103.042687187688;15.77849;-999;4.66893843406285
2016;7;1;13;21.3347920013863;30.0197756464467;132.035560243684;24.57536;-999;5.66431726223345
2016;7;1;14;16.9385370322065;23.181207010734;148.471963719366;17.37601;-999;4.07144846402918
2016;7;1;15;22.3807882693167;30.3799134364624;147.927968540534;22.8307;-999;5.21700265869809
2016;7;1;16;24.8850158299744;35.0239478160629;140.337927722738;20.89686;-999;6.61257750347924
2016;7;1;17;20.146516717915;28.3035391526824;140.569459642335;15.81002;-999;5.31998272811448
2016;7;1;18;23.0475914858766;30.5301882717306;130.905955795528;21.58001;-999;4.88012457738496
2016;7;1;19;35.3341281208408;44.1717830758025;106.08066761681;22.05296;-999;5.7638889795174
2016;7;1;20;40.9661983032458;47.0912554323143;80.9762917795767;20.38187;-999;3.99474175729517
2016;7;1;21;63.3440453311257;77.1242627936476;56.0146077586868;25.85758;-999;8.98741170280584
2016;7;1;22;50.5527122570491;65.7867793819933;-999;34.63343;-999;9.93560758619529
2016;7;1;23;40.9477255506162;45.5581407331852;82.788516003988;31.64859;-999;3.00689734971942
2016;7;2;0;36.7846543936525;40.9329205719955;67.0722804055329;38.36448;-999;2.7054853161055
2016;7;2;1;-999;-999;26.983816606343;28.68477;-999;-999
2016;7;2;2;44.6829277407;72.6662336001751;24.752369933166;26.79297;-999;18.2506184135802
2016;7;2;3;37.3222686494747;63.7969064095219;24.3830352095599;26.39359;-999;17.2666701290685
2016;7;2;4;36.2628303778894;44.3651431261504;29.992617151614;24.84862;-999;5.2843012537037
2016;7;2;5;33.4674996747669;46.3183528516319;32.6944047219077;23.75558;-999;8.38128342654321
2016;7;2;6;32.7308718856661;64.3129025393939;38.8623211308625;29.43098;-999;20.5976946784512
2016;7;2;7;34.2191894787805;60.9014765173962;54.3454904139618;32.90979;-999;17.4020982934905
2016;7;2;8;39.3539249620333;76.4413080029854;64.153337587749;31.32278;-999;24.1882670774411
2016;7;2;9;22.679486747876;34.3841178849742;110.892178382586;23.47181;-999;7.63372124893378
2016;7;2;10;16.2708747565876;24.4034989963726;-999;23.48232;-999;5.30407030701459
2016;7;2;11;14.1829254106727;24.2992744679089;-999;81.63415;-999;6.59784899287318
2016;7;2;12;10.5337513861325;18.6196720685028;-999;18.34293;-999;5.27361040319865
2016;7;2;13;9.53169459466845;18.7918301708058;-999;22.48387;-999;6.03942942648709
2016;7;2;14;9.14088088353281;18.8225298897957;-999;17.86998;-999;6.31433907469136
2016;7;2;15;11.28347400753;15.9569123415802;-999;15.9992;-999;3.04800083815937
2016;7;2;16;12.7814235571371;16.8951341662276;-999;18.35344;-999;2.68294828950617
2016;7;2;17;20.2920886330554;26.6479642365701;-999;20.03504;-999;4.14528079371493
2016;7;2;18;17.3468777278314;21.1182202537464;-999;17.17632;-999;2.45965697166106
2016;7;2;19;27.7205469079985;33.6299954586308;-999;22.97784;-999;3.85412256414141
2016;7;2;20;36.3444725920313;42.9509038060202;-999;24.68046;-999;4.30869232418631
2016;7;2;21;45.795554888056;54.2041021772391;-999;25.36361;-999;5.48402639624018
2016;7;2;22;46.8461739032562;53.7983585188103;-999;30.2928;-999;4.53419153535354
2016;7;2;23;29.725885439011;34.1741664675017;-999;23.00937;-999;2.90115399713805
