year;month;day;hour;NO2;NOx;PM10;SO2;NO
2016;1;5;15;21.4869394707297;47.66616;91.8848;10.26;17.074
2016;1;5;16;28.1836159743384;50.82096;85.4966;9.224;14.764
2016;1;5;17;27.469046222935;46.38512;92.88164;9.234;12.337
2016;1;5;18;22.1372341299118;51.41368;76.76372;10.54;19.094
2016;1;5;19;15.9632834001604;31.7392;84.80864;10.6;10.289
2016;1;5;20;17.331981010425;31.31856;79.79636;12.66;9.122
2016;1;5;21;21.3153807858861;32.61872;86.04416;15.26;7.372
2016;1;5;22;21.7157508259824;32.54224;94.763;20.88;7.061
2016;1;5;23;20.7797907939054;29.31096;113.80124;15.87;5.564
2016;1;6;0;15.7095685132318;23.754688;104.84372;14.89;5.247
2016;1;6;1;16.603007627907;20.186896;113.9978;11.65;2.3374
2016;1;6;2;-999;-999;178.301;12.03;-999
2016;1;6;3;12.5100780048115;15.817976;118.15364;-999;2.1574
2016;1;6;4;11.7831607506014;15.399248;95.61944;8.818;2.3584
2016;1;6;5;10.3853016904571;14.716664;61.17932;7.71;2.8249
2016;1;6;6;12.2425559326383;16.599984;64.12772;7.124;2.8419
2016;1;6;7;17.5569438331997;27.03568;62.21828;7.529;6.182
2016;1;6;8;26.4206661106656;43.99512;56.47592;8.059;11.462
2016;1;6;9;18.9844427265437;30.53464;138.3572;7.316;7.533
2016;1;6;10;15.8825255493184;28.66088;64.63316;8.693;8.334
2016;1;6;11;19.5771167281476;35.92648;54.45416;11.87;10.663
2016;1;6;12;14.960671692061;28.4888;52.47452;10.4;8.823
2016;1;6;13;13.2935364875702;30.592;51.91292;10.57;11.282
2016;1;6;14;15.1776921251002;33.88064;55.26848;8.493;12.198
2016;1;6;15;16.1173933600642;36.19416;61.5584;11.81;13.094
2016;1;6;16;16.2708900080192;30.70672;59.84552;9.417;9.415
2016;1;6;17;16.7252161668003;30.19048;66.2618;14.77;8.782
2016;1;6;18;18.470553244587;25.695368;60.11228;7.899;4.712
2016;1;6;19;20.4213559582999;29.48304;74.37692;6.655;5.91
2016;1;6;20;24.342519903769;38.48856;68.73284;5.727;9.226
2016;1;6;21;18.541895223737;26.473552;62.49908;5.996;5.173
2016;1;6;22;19.7810276182839;28.60352;56.95328;5.91;5.754
2016;1;6;23;17.5413795092221;25.060584;50.43872;5.531;4.904
2016;1;7;0;16.1471497225341;23.347432;45.53876;5.566;4.696
2016;1;7;1;14.3262587457899;19.223248;36.93224;5.691;3.1938
2016;1;7;2;17.1801111724138;26.410456;42.3938;9.631;6.02
2016;1;7;3;-999;-999;42.77288;6.355;-999
2016;1;7;4;11.2790397947073;14.561792;30.2492;-999;2.141
2016;1;7;5;12.3762303384122;16.152576;30.05264;6.799;2.46292
2016;1;7;6;20.9281969526864;36.1368;36.146;5.267;9.919
2016;1;7;7;34.4667668965517;82.46456;43.71356;5.6;31.304
2016;1;7;8;49.4887851162791;143.13232;38.12564;6.354;61.074
2016;1;7;9;57.5324939855654;228.484;59.9438;6.968;111.494
2016;1;7;10;40.6925118203689;99.72992;94.01888;6.003;38.504
2016;1;7;11;24.8506488532478;57.99096;46.90064;5.99;21.614
2016;1;7;12;21.7149688532478;54.85528;43.27832;6.508;21.614
2016;1;7;13;32.1824405453087;80.76288;46.52156;18.6;31.684
2016;1;7;14;28.7742660465116;57.05408;49.49804;7.386;18.444
2016;1;7;15;31.2719022935044;52.94328;37.78868;6.866;14.134
2016;1;7;16;60.4464310505212;110.28416;54.69284;31.26;32.504
2016;1;7;17;41.2760321411387;65.90664;39.05228;6.318;16.064
2016;1;7;18;37.0240017321572;61.54728;31.3022;5.129;15.994
2016;1;7;19;28.285303095429;59.53968;40.10528;4.445;20.384
2016;1;7;20;28.2443645228549;47.87648;47.42012;4.666;12.804
2016;1;7;21;37.4727314194066;53.47864;79.12244;4.978;10.439
2016;1;7;22;40.6604816038492;56.00248;85.90376;5.341;10.006
2016;1;7;23;36.0653951563753;77.60808;105.04028;3.629;27.094
2016;1;8;0;21.815705340818;32.10248;105.39128;3.081;6.709
2016;1;8;1;28.1322970970329;37.41784;100.92656;3.17;6.056
2016;1;8;2;29.1066811226945;38.69888;87.65876;6.19;6.256
2016;1;8;3;34.1534871531676;48.88984;100.28072;5.891;9.611
2016;1;8;4;-999;-999;89.3576;6.565;-999
2016;1;8;5;31.0655534883721;46.9396;81.05996;-999;10.353
2016;1;8;6;33.05501478749;79.74952;75.51416;6.044;30.454
2016;1;8;7;34.2393968243785;95.71472;73.53452;4.544;40.094
2016;1;8;8;43.1201538412189;164.54672;87.84128;5.069;79.194
2016;1;8;9;44.6722317241379;159.91968;124.54184;5.227;75.164
2016;1;8;10;31.4716886607859;81.43208;114.29264;4.836;32.584
2016;1;8;11;34.966907457899;80.1128;99.14348;8.278;29.444
2016;1;8;12;40.0206439133921;71.48968;105.0122;7.291;20.524
2016;1;8;13;31.9656501042502;60.93544;95.70368;5.238;18.894
2016;1;8;14;34.7057898957498;70.744;63.72056;4.497;23.504
2016;1;8;15;39.9341362630313;85.14136;72.53768;3.612;29.484
2016;1;8;16;43.7677039294306;84.9884;75.34568;3.015;26.884
2016;1;8;17;44.624347393745;69.8836;121.73384;3.019;16.474
2016;1;8;18;55.7540886607859;124.83448;142.40072;3.563;45.054
2016;1;8;19;43.9554233841219;78.65968;151.9058;3.378;22.634
2016;1;8;20;35.4580323336006;62.38856;111.44252;2.935;17.564
2016;1;8;21;39.4820333600642;97.7988;95.61944;3.312;38.034
2016;1;8;22;40.2273760384924;120.99136;98.07644;4.032;52.674
2016;1;8;23;39.1827677947073;97.91352;148.6766;3.573;38.304
2016;1;9;0;34.5799076182839;62.5224;116.65136;3.168;18.224
2016;1;9;1;31.7129502485966;52.84768;128.82404;3.432;13.784
2016;1;9;2;31.9892166158781;46.99696;124.27508;5.398;9.788
2016;1;9;3;32.7497540978348;46.34688;168.1922;2.652;8.868
2016;1;9;4;30.7529330553328;47.18816;138.53972;3.891;10.719
2016;1;9;5;-999;-999;128.62748;3.877;-999
2016;1;9;6;25.1062772734563;53.70808;109.82792;-999;18.654
2016;1;9;7;29.822324170008;83.47792;114.43304;4.621;34.994
2016;1;9;8;27.091414723336;53.89928;108.62048;2.826;17.484
2016;1;9;9;32.539694755413;97.97088;129.7226;3.623;42.674
2016;1;9;10;34.8047017802727;107.70296;117.578;3.969;47.544
2016;1;9;11;46.7379123656776;112.29176;137.92196;4.838;42.754
2016;1;9;12;63.5243370649559;99.19456;184.1978;5.412;23.264
2016;1;9;13;54.7158281956696;89.55808;205.1174;4.418;22.724
2016;1;9;14;54.9283254530874;85.67672;142.38668;4.681;20.054
2016;1;9;15;79.0119817161187;151.1436;132.48848;5.601;47.044
2016;1;9;16;86.303509478749;193.83856;134.1452;5.916;70.134
2016;1;9;17;67.9292354771452;151.54512;116.06168;4.305;54.534
