year;month;day;hour;NO2;NOx;O3;NO
2016;1;12;17;-999;-999;-999;-999
2016;1;12;18;-999;-999;-999;-999
2016;1;12;19;-999;-999;-999;-999
2016;1;12;20;-999;-999;-999;-999
2016;1;12;21;-999;-999;-999;-999
2016;1;12;22;-999;-999;-999;-999
2016;1;12;23;-999;-999;-999;-999
2016;1;13;0;-999;-999;-999;-999
2016;1;13;1;-999;-999;-999;-999
2016;1;13;2;-999;-999;-999;-999
2016;1;13;3;-999;-999;-999;-999
2016;1;13;4;-999;-999;-999;-999
2016;1;13;5;-999;-999;-999;-999
2016;1;13;6;-999;-999;-999;-999
2016;1;13;7;-999;-999;-999;-999
2016;1;13;8;-999;-999;-999;-999
2016;1;13;9;-999;-999;-999;-999
2016;1;13;10;-999;-999;-999;-999
2016;1;13;11;-999;-999;-999;-999
2016;1;13;12;-999;-999;-999;-999
2016;1;13;13;-999;-999;-999;-999
2016;1;13;14;-999;-999;-999;-999
2016;1;13;15;-999;-999;-999;-999
2016;1;13;16;-999;-999;-999;-999
2016;1;13;17;-999;-999;-999;-999
2016;1;13;18;-999;-999;-999;-999
2016;1;13;19;-999;-999;-999;-999
2016;1;13;20;-999;-999;-999;-999
2016;1;13;21;-999;-999;-999;-999
2016;1;13;22;-999;-999;-999;-999
2016;1;13;23;-999;-999;-999;-999
2016;1;14;0;-999;-999;-999;-999
2016;1;14;1;-999;-999;-999;-999
2016;1;14;2;-999;-999;-999;-999
2016;1;14;3;-999;-999;-999;-999
2016;1;14;4;-999;-999;-999;-999
2016;1;14;5;-999;-999;-999;-999
2016;1;14;6;-999;-999;-999;-999
2016;1;14;7;-999;-999;-999;-999
2016;1;14;8;-999;-999;-999;-999
2016;1;14;9;-999;-999;-999;-999
2016;1;14;10;-999;-999;-999;-999
2016;1;14;11;-999;-999;-999;-999
2016;1;14;12;21.9069273393456;49.1024095035493;-999;17.736802436591
2016;1;14;13;24.9329555092729;44.3323807068555;19.7406586122035;12.6522401785489
2016;1;14;14;-999;-999;30.8671175233342;-999
2016;1;14;15;20.9715885302992;28.781466913822;29.292070626124;5.09357653988124
2016;1;14;16;29.2204641377974;38.2348412533181;20.4666751541722;5.87914658109531
2016;1;14;17;40.7472660364073;60.5371456633097;13.4373874632095;12.9068932503908
2016;1;14;18;49.6388629654805;69.8434106087322;3.77055412244415;13.1773383426438
2016;1;14;19;43.1678328224754;52.0683369665846;3.51024309499115;5.80487901030554
2016;1;14;20;42.4212600425256;60.1227710639491;3.18026999136839;11.5448662362527
2016;1;14;21;41.662070361221;85.8202166336341;2.6763270973587;28.7997951891732
2016;1;14;22;40.9616067825414;88.351035772299;2.1121394954607;30.9072269614162
2016;1;14;23;37.3118519973687;105.439421154454;1.79893885851456;44.4325725621782
2016;1;15;0;34.2217584201867;155.619552548469;2.54063123416491;79.1752349780169
2016;1;15;1;31.3099287729552;125.257168001119;3.39816100795073;61.2720749568623
2016;1;15;2;24.2052894521075;68.2376757923314;2.4435692743846;28.7177749823532
2016;1;15;3;23.1243891335942;49.6388330624559;2.32728394723594;17.2926315791269
2016;1;15;4;19.8753092772681;37.5827585930276;2.26581300734476;11.5487391719415
2016;1;15;5;20.1413618424903;29.6767663266378;2.35103413621695;6.21895888688905
2016;1;15;6;18.3674864201611;38.3072222063051;2.27788969575982;13.0046289358377
2016;1;15;7;21.2170625001314;40.9116530544376;2.23847084729866;12.8447460362029
2016;1;15;8;22.8312869793505;27.7848587551956;4.96112758691172;3.23070293121281
2016;1;15;9;30.3773034658378;44.5898887700711;3.79964610863016;9.26940056191365
2016;1;15;10;33.8129939902378;52.0627565046731;8.8532197829095;11.9024340248436
2016;1;15;11;18.0536031145648;23.0939838316493;31.0085048975699;3.28731943211529
2016;1;15;12;14.4075944193839;18.1314358019513;36.0567853584051;2.42867688496941
2016;1;15;13;15.2277976745337;19.5082001227172;-999;2.79166414899828
2016;1;15;14;12.182429637634;15.8617512673915;40.8929211864601;2.39964125120693
2016;1;15;15;-999;-999;48.9884022919756;-999
2016;1;15;16;11.7222788256963;15.3362395660748;45.1202497005318;2.35701309793516
2016;1;15;17;11.4968367982031;14.7988807961055;46.4598734831015;2.153582042565
2016;1;15;18;16.4319708449502;19.6753100591677;41.2765810855809;2.11529497914706
2016;1;15;19;29.0828266526812;35.4354893915938;27.0210430181385;4.14318537417574
2016;1;15;20;46.4789689892758;64.5282999160365;6.06934067378764;11.7717132142629
2016;1;15;21;43.8522009889273;73.3528522763913;2.85987859184295;19.2402260227341
2016;1;15;22;31.5333104414711;52.1683067800974;2.64997344111905;13.4580755409346
2016;1;15;23;31.104951380269;88.1701356391196;4.03167545613939;37.2177221604533
2016;1;16;0;28.4834946879649;59.2339597170545;3.03865784542411;20.0553503615454
2016;1;16;1;22.7598590160885;34.6197609993758;10.9685565500582;7.73498837508335
2016;1;16;2;13.7139324864669;16.7487974933874;23.4398422284945;1.97932879896961
2016;1;16;3;15.3824472528641;18.4684277504962;26.0648956303766;2.0126661509138
2016;1;16;4;25.2275375939556;29.0549364911865;13.5194052144728;2.4962167493969
2016;1;16;5;14.6417106974025;17.7057685726106;23.4764166931936;1.99836828995003
2016;1;16;6;8.21000413355355;10.5776055384685;31.2103237881682;1.54414171125988
2016;1;16;7;5.76276207181929;7.76312510660471;34.2092611731314;1.30463007551121
2016;1;16;8;11.0282432481404;13.5082939495988;28.0633033351373;1.6174807660662
2016;1;16;9;14.3301295325295;17.0623636570351;22.7417611081021;1.78195395044897
2016;1;16;10;14.0510365336478;18.3637377144978;23.5779108677527;2.81272927433053
2016;1;16;11;11.4820418072938;15.9744069416002;27.7847520255284;2.92990550338915
2016;1;16;12;7.59865287681141;10.841893637743;35.1990947749148;2.11523076824359
2016;1;16;13;4.57714290190468;7.23578978408315;39.1193515252434;1.73396059732037
2016;1;16;14;5.05729681693067;7.57053271366388;-999;1.63912403934431
2016;1;16;15;7.54946319088824;11.0128064613414;36.2376866755046;2.25878088820874
2016;1;16;16;-999;-999;35.966369998446;-999
2016;1;16;17;13.8946916125833;18.1679626770626;33.6769273302642;2.78701308441721
2016;1;16;18;21.3465030428757;24.9527649344842;22.4149678125407;2.35199193453751
