year;month;day;hour;PM10;PM25
2016;4;15;23;0.964254991179704;-0.654167507842183
2016;4;16;0;1.20328800262809;-0.383209989309311
2016;4;16;1;2.29456499603987;0.629525006681681
2016;4;16;2;2.25047299488783;0.500462499648333
2016;4;16;3;2.4143079970479;0.73307000991702
2016;4;16;4;2.15670200511217;0.535567508369684
2016;4;16;5;1.83945099625587;0.196169989168644
2016;4;16;6;2.14009199575186;0.335262495428323
2016;4;16;7;2.24337600165606;0.451639988183975
2016;4;16;8;2.90505799524784;0.925704989731312
2016;4;16;9;4.12951699755192;1.90716999971867
2016;4;16;10;5.41905700259209;3.04306750309467
2016;4;16;11;6.5449130089283;3.92939499127865
2016;4;16;12;7.87658198099136;4.78209249043465
2016;4;16;13;7.18953200979233;4.88032750225067
2016;4;16;14;8.03347100057602;5.81887002503872
2016;4;16;15;6.54159096169472;4.68547999465466
2016;4;16;16;6.6069739821434;4.4981549834013
2016;4;16;17;6.96348502016068;4.88637500703335
2016;4;16;18;6.4340789850235;4.40522999465465
2016;4;16;19;5.80033200979233;3.63572247946262
2016;4;16;20;5.77843701267242;3.49176247608662
2016;4;16;21;6.27447198963165;4.03544752728939
2016;4;16;22;7.32271399798393;4.75126498818397
2016;4;16;23;7.11629702563286;4.44461248171329
2016;4;17;0;6.69727201843262;4.01818996989727
2016;4;17;1;7.1865119910717;4.49741749465466
2016;4;17;2;7.36423898358345;4.75244502222538
2016;4;17;3;7.68873798012733;5.0310724850893
2016;4;17;4;8.77639102649689;5.93185503685474
2016;4;17;5;9.15087100057602;6.22906750309467
2016;4;17;6;8.63127997407913;5.96268246173859
2016;4;17;7;9.64660400662422;6.49678001153469
2016;4;17;8;7.3379649582386;5.06617752897739
2016;4;17;9;9.16370599913597;6.08820502138138
2016;4;17;10;9.56989597177506;6.26844999015331
2016;4;17;11;8.34589005904198;5.66561750590801
2016;4;17;12;8.70738397350311;5.91931751012802
2016;4;17;13;9.25596695795059;6.04218498086929
2016;4;17;14;10.1024729930878;6.54014503347874
2016;4;17;15;10.0561160192966;6.23570496511459
2016;4;17;16;8.78560197811127;5.61414001631737
2016;4;17;17;8.41474597177506;5.24288248705864
2016;4;17;18;8.96227200403213;5.51782251322269
2016;4;17;19;8.37865692338943;5.06558745920658
2016;4;17;20;7.70942502880097;4.39992000675201
2016;4;17;21;7.22018501296043;3.98397000253201
2016;4;17;22;7.71924003744125;4.34446000337601
2016;4;17;23;8.1606129729271;4.80392246961594
2016;4;18;0;8.9483800028801;5.43463252925873
2016;4;18;1;10.4038689792633;6.72761748480797
2016;4;18;2;8.83407304348946;5.74659499549866
2016;4;18;3;8.87861803340912;5.53316247045994
2016;4;18;4;6.7831909760952;4.08692503798008
2016;4;18;5;6.43694797868729;3.65298000872135
2016;4;18;6;6.03861002016068;3.49500748002529
2016;4;18;7;6.44117597465515;3.79428499352932
2016;4;18;8;6.23370202131271;3.56654501378536
