year;month;day;hour;PM10;PM25
2016;7;13;10;17.49818577648729;10.78360239434061
2016;7;13;11;17.49818577648729;10.78360239434061
2016;7;13;12;17.49818577648729;10.78360239434061
2016;7;13;13;17.49818577648729;10.78360239434061
2016;7;13;14;17.49818577648729;10.78360239434061
2016;7;13;15;17.49818577648729;10.78360239434061
2016;7;13;16;17.49818577648729;10.78360239434061
2016;7;13;17;17.49818577648729;10.78360239434061
2016;7;13;18;17.49818577648729;10.78360239434061
2016;7;13;19;17.49818577648729;10.78360239434061
2016;7;13;20;17.49818577648729;10.78360239434061
2016;7;13;21;17.49818577648729;10.78360239434061
2016;7;13;22;17.49818577648729;10.78360239434061
2016;7;13;23;17.49818577648729;10.78360239434061
2016;7;14;0;7.0210449927435814;3.2202467343981289
2016;7;14;1;7.0210449927435814;3.2202467343981289
2016;7;14;2;7.0210449927435814;3.2202467343981289
2016;7;14;3;7.0210449927435814;3.2202467343981289
2016;7;14;4;7.0210449927435814;3.2202467343981289
2016;7;14;5;7.0210449927435814;3.2202467343981289
2016;7;14;6;7.0210449927435814;3.2202467343981289
2016;7;14;7;7.0210449927435814;3.2202467343981289
2016;7;14;8;7.0210449927435814;3.2202467343981289
2016;7;14;9;7.0210449927435814;3.2202467343981289
2016;7;14;10;7.0210449927435814;3.2202467343981289
2016;7;14;11;7.0210449927435814;3.2202467343981289
2016;7;14;12;7.0210449927435814;3.2202467343981289
2016;7;14;13;7.0210449927435814;3.2202467343981289
2016;7;14;14;7.0210449927435814;3.2202467343981289
2016;7;14;15;7.0210449927435814;3.2202467343981289
2016;7;14;16;7.0210449927435814;3.2202467343981289
2016;7;14;17;7.0210449927435814;3.2202467343981289
2016;7;14;18;7.0210449927435814;3.2202467343981289
2016;7;14;19;7.0210449927435814;3.2202467343981289
2016;7;14;20;7.0210449927435814;3.2202467343981289
2016;7;14;21;7.0210449927435814;3.2202467343981289
2016;7;14;22;7.0210449927435814;3.2202467343981289
2016;7;14;23;7.0210449927435814;3.2202467343981289
2016;7;15;0;5.887155297532753;3.4651669085630759
2016;7;15;1;5.887155297532753;3.4651669085630759
2016;7;15;2;5.887155297532753;3.4651669085630759
2016;7;15;3;5.887155297532753;3.4651669085630759
2016;7;15;4;5.887155297532753;3.4651669085630759
2016;7;15;5;5.887155297532753;3.4651669085630759
2016;7;15;6;5.887155297532753;3.4651669085630759
2016;7;15;7;5.887155297532753;3.4651669085630759
2016;7;15;8;5.887155297532753;3.4651669085630759
2016;7;15;9;5.887155297532753;3.4651669085630759
2016;7;15;10;5.887155297532753;3.4651669085630759
2016;7;15;11;5.887155297532753;3.4651669085630759
2016;7;15;12;5.887155297532753;3.4651669085630759
2016;7;15;13;5.887155297532753;3.4651669085630759
2016;7;15;14;5.887155297532753;3.4651669085630759
2016;7;15;15;5.887155297532753;3.4651669085630759
2016;7;15;16;5.887155297532753;3.4651669085630759
2016;7;15;17;5.887155297532753;3.4651669085630759
2016;7;15;18;5.887155297532753;3.4651669085630759
2016;7;15;19;5.887155297532753;3.4651669085630759
2016;7;15;20;5.887155297532753;3.4651669085630759
2016;7;15;21;5.887155297532753;3.4651669085630759
2016;7;15;22;5.887155297532753;3.4651669085630759
2016;7;15;23;5.887155297532753;3.4651669085630759
2016;7;16;0;3.3659952821630399;1.7507256894049232
2016;7;16;1;3.3659952821630399;1.7507256894049232
2016;7;16;2;3.3659952821630399;1.7507256894049232
2016;7;16;3;3.3659952821630399;1.7507256894049232
2016;7;16;4;3.3659952821630399;1.7507256894049232
2016;7;16;5;3.3659952821630399;1.7507256894049232
2016;7;16;6;3.3659952821630399;1.7507256894049232
2016;7;16;7;3.3659952821630399;1.7507256894049232
2016;7;16;8;3.3659952821630399;1.7507256894049232
2016;7;16;9;3.3659952821630399;1.7507256894049232
2016;7;16;10;3.3659952821630399;1.7507256894049232
2016;7;16;11;3.3659952821630399;1.7507256894049232
2016;7;16;12;3.3659952821630399;1.7507256894049232
2016;7;16;13;3.3659952821630399;1.7507256894049232
2016;7;16;14;3.3659952821630399;1.7507256894049232
